type,code,name,ISIN,start,market,group,CFI
上櫃認購(售)權證,729658,晶宏永豐19購01,TW22Z7296587,2022/02/14,上櫃,,RWSCCA
上櫃認購(售)權證,729659,晶宏永豐1A購01,TW22Z7296595,2022/02/14,上櫃,,RWSCCA
上櫃認購(售)權證,729660,精材永豐18購01,TW22Z7296603,2022/02/14,上櫃,,RWSCCA
上櫃認購(售)權證,729661,鈦昇兆豐1A購01,TW22Z7296611,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729662,凡甲國票1B購01,TW22Z7296629,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729663,金居國票19購01,TW22Z7296637,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729664,元太富邦1B購01,TW22Z7296645,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729665,元太元富18購04,TW22Z7296652,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729666,元太元富18購05,TW22Z7296660,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729667,元太元富1B購03,TW22Z7296678,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729668,元太群益18購03,TW22Z7296686,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729669,元太群益18購04,TW22Z7296694,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729670,明安群益18購01,TW22Z7296702,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729671,朋程群益18購03,TW22Z7296710,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729672,進泰群益1A購01,TW22Z7296728,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729673,鈊象群益18購03,TW22Z7296736,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729674,萬潤群益1C購01,TW22Z7296744,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729675,德微群益18購01,TW22Z7296751,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729676,德微群益1A購01,TW22Z7296769,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729677,大江凱基18購01,TW22Z7296777,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729678,中美晶凱基18購06,TW22Z7296785,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729679,禾瑞亞凱基1A購01,TW22Z7296793,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729680,宜鼎凱基19購01,TW22Z7296801,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729681,明安凱基19購01,TW22Z7296819,2022/02/15,上櫃,,RWSCCA
上櫃認購(售)權證,729682,昇佳電凱基1A購01,TW22Z7296827,2022/02/15,上櫃,,RWSCCA
